name,window,hidden,lstm_layers,dropout,batch_size,learning_rate,weight_decay,lambda_voltage,loss_function,huber_delta,current_focus_weight,voltage_pca_components,current_pca_components,mean_val_current_r2_h5,worst_val_current_r2_h5,std_val_current_r2_h5,mean_val_current_mse_h5,median_best_epoch,fold_current_r2_h5,fold_current_mse_h5,fold_best_epochs
window_22_h224,22,224,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,0.8509548089897451,0.7867580512503336,0.055819207191089196,22.918135714001977,3,"[0.7867580512503336, 0.8432692959058835, 0.9228370798130179]","[32.37681539384268, 19.539474174574206, 16.838117573589038]","[32, 2, 3]"
window_80_h128,80,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,0.8436164470435088,0.7471606697047352,0.07630224765015456,23.851540241698455,5,"[0.7471606697047352, 0.8499484915493278, 0.9337401798764635]","[38.38893974319586, 18.70678493517897, 14.458896046720527]","[0, 5, 5]"
window_22_h192_mse,22,192,1,0.2,32,0.0001,0.0001,0.1,mse,1.0,1.0,16,64,0.8431138313215382,0.762735254865835,0.06537122891424921,24.112526885561525,4,"[0.762735254865835, 0.843748604132629, 0.9228576349661506]","[36.02422927439133, 19.47971925436068, 16.83363212793257]","[0, 4, 4]"
window_22_h128,22,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,0.8430500414773184,0.762735254865835,0.06542105177769882,24.116599095388747,3,"[0.762735254865835, 0.843432790696476, 0.9229820788696442]","[36.02422927439133, 19.519091427894637, 16.806476583880272]","[0, 3, 4]"
window_22_h224_mse,22,224,1,0.2,32,0.0001,0.0001,0.1,mse,1.0,1.0,16,64,0.8430339237342612,0.762735254865835,0.0653963512031859,24.1205017293625,3,"[0.762735254865835, 0.8434451535394814, 0.9229213627974672]","[36.02422927439133, 19.51755016351365, 16.819725750182517]","[0, 3, 4]"
window_22_h192,22,192,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,0.8428466220154919,0.762735254865835,0.06527084800218916,24.153423556800572,1,"[0.762735254865835, 0.8431901910854619, 0.9226144200951787]","[36.02422927439133, 19.54933610051046, 16.886705295499926]","[0, 1, 3]"
window_21_h128,21,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,0.8420315338951264,0.7569886831676519,0.06794599784281159,24.285917451495393,2,"[0.7569886831676519, 0.8458131465413068, 0.9232927719764208]","[36.89673907891379, 19.22233463205686, 16.738678643515524]","[0, 2, 4]"
window_20_h128,20,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,0.8419252713853899,0.7548956101322379,0.06909070196612314,24.29897771614409,3,"[0.7548956101322379, 0.8469736725717554, 0.9239065314521764]","[37.214533207464825, 19.07765290851115, 16.604747032456288]","[0, 3, 5]"
window_23_h128,23,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,0.8407403373496929,0.7589054434717422,0.06743710104401232,24.405249893945197,3,"[0.7589054434717422, 0.8392439716350186, 0.924071596942318]","[36.60571475239806, 20.041307686325805, 16.56872724311172]","[0, 3, 4]"
window_44_h128,44,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,0.8404900631002041,0.7507236282150495,0.06926595913554875,24.658340929115855,2,"[0.7507236282150495, 0.8514152178998947, 0.9193313431856683]","[37.84797090183628, 18.52392949652249, 17.603122388988798]","[0, 2, 3]"
window_102_h128,102,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,0.8348855334297824,0.7371663274302432,0.08040466349699499,25.019294292890066,4,"[0.7371663274302432, 0.8333905690874308, 0.9340997037716732]","[39.90639433738536, 20.771046052353295, 14.380442488931552]","[0, 5, 4]"
window_60_h128,60,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,0.8318314602672303,0.7340618822189708,0.07931188181369525,25.60828283973657,1,"[0.7340618822189708, 0.8331095890278704, 0.9283229095548496]","[40.37774648031509, 20.8060755805436, 15.641026458351021]","[0, 1, 4]"
window_30_h128,30,128,1,0.2,32,0.0001,0.0001,1.0,huber,1.0,1.0,16,64,0.8312233545561982,0.7260875313370727,0.08115906999625683,25.901490901006202,3,"[0.7260875313370727, 0.8439160110441497, 0.923666521287372]","[41.588503031278854, 19.458848787127014, 16.657120884612734]","[0, 3, 4]"
