config,fold,name,window,hidden,lstm_layers,dropout,batch_size,learning_rate,weight_decay,lambda_voltage,loss_function,huber_delta,current_focus_weight,voltage_pca_components,current_pca_components,parameters,best_epoch,epochs_run,initial_val_current_r2_h5,best_val_current_r2_h5,best_val_current_mse_h5,best_val_voltage_r2_h5,best_val_voltage_mse_h5,best_val_total_loss
window_20_h128,early,window_20_h128,20,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,0,8,0.7548956101322379,0.7548956101322379,37.214533207464825,0.13968368693567967,3.350377933636665e-05,0.6365727056371103
window_20_h128,middle,window_20_h128,20,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,3,11,0.8468970542298233,0.8469736725717554,19.07765290851115,0.4645591863935892,1.302697695824276e-05,0.31969301122249943
window_20_h128,recent,window_20_h128,20,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,5,13,0.9222021712916053,0.9239065314521764,16.604747032456288,0.5650026228983334,1.1870603642787907e-05,0.3579402931846014
window_21_h128,early,window_21_h128,21,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,0,8,0.7569886831676519,0.7569886831676519,36.89673907891379,0.15112558421115907,3.30581911315567e-05,0.6387988390898941
window_21_h128,middle,window_21_h128,21,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,2,10,0.8455994328387006,0.8458131465413068,19.22233463205686,0.44458705654096886,1.3512887760679958e-05,0.31904560740631405
window_21_h128,recent,window_21_h128,21,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,4,12,0.9222424357869623,0.9232927719764208,16.738678643515524,0.5562352179214884,1.2109856555413189e-05,0.3578604684017672
window_22_h128,early,window_22_h128,22,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,0,8,0.762735254865835,0.762735254865835,36.02422927439133,0.17449596590378913,3.2148065286740835e-05,0.6391468287104427
window_22_h128,middle,window_22_h128,22,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,3,11,0.8431650930618032,0.843432790696476,19.519091427894637,0.429838414405607,1.387171401445141e-05,0.3192811826668163
window_22_h128,recent,window_22_h128,22,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,4,12,0.9219625942595842,0.9229820788696442,16.806476583880272,0.5524801730306297,1.2212327632037271e-05,0.3581004824378703
window_23_h128,early,window_23_h128,23,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,0,8,0.7589054434717422,0.7589054434717422,36.60571475239806,0.16646435583803343,3.2460844769441056e-05,0.6406018536279697
window_23_h128,middle,window_23_h128,23,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,3,11,0.8391335520370782,0.8392439716350186,20.041307686325805,0.4055868547412609,1.4461740962193789e-05,0.321063494328225
window_23_h128,recent,window_23_h128,23,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,4,12,0.9229425949613267,0.924071596942318,16.56872724311172,0.5615841670587061,1.1963889571574337e-05,0.35849271168803226
window_30_h128,early,window_30_h128,30,128,1,0.2,32,0.0001,0.0001,1.0,huber,1.0,1.0,16,64,216912,0,8,0.7260875313370727,0.7260875313370727,41.588503031278854,-0.02931860314138346,4.0085330038241135e-05,0.8609264652327736
window_30_h128,middle,window_30_h128,30,128,1,0.2,32,0.0001,0.0001,1.0,huber,1.0,1.0,16,64,216912,3,11,0.8429437549324809,0.8439160110441497,19.458848787127014,0.443125856329985,1.3548437948480654e-05,0.4082523554858595
window_30_h128,recent,window_30_h128,30,128,1,0.2,32,0.0001,0.0001,1.0,huber,1.0,1.0,16,64,216912,4,12,0.9214052902260482,0.923666521287372,16.657120884612734,0.5706383063626546,1.171681199211886e-05,0.47181980562682196
window_44_h128,early,window_44_h128,44,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,0,8,0.7507236282150495,0.7507236282150495,37.84797090183628,0.15936404478854116,3.2737356153695106e-05,0.6094905616033195
window_44_h128,middle,window_44_h128,44,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,2,10,0.8512890446848607,0.8514152178998947,18.52392949652249,0.49480795500796704,1.2291041254909592e-05,0.32537972632021006
