name,window,hidden,lstm_layers,dropout,batch_size,learning_rate,weight_decay,lambda_voltage,loss_function,huber_delta,current_focus_weight,voltage_pca_components,current_pca_components,parameters,best_epoch,epochs_run,initial_val_current_r2_h5,best_val_current_r2_h5,best_val_current_mse_h5,best_val_voltage_r2_h5,best_val_voltage_mse_h5,best_val_total_loss
w102_hidden_224_vweight_010,102,224,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,556080,5,13,0.931595771962385,0.9375976226790337,13.620348412842066,0.6448752263871221,9.691925027000142e-06,0.3014434239651897
w102_hidden_224,102,224,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,556080,5,13,0.931595771962385,0.9372799329791386,13.689689431333804,0.6537350735973881,9.450125577080099e-06,0.3295544409515834
w102_hidden_224_learning_rate_5e5,102,224,1,0.2,32,5e-05,0.0001,0.3,huber,1.0,1.0,16,64,556080,9,17,0.931595771962385,0.9371908141818878,13.709141079184445,0.6558295883819355,9.392962907032456e-06,0.3294920219053136
w102_hidden_224_batch_64,102,224,1,0.2,64,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,556080,8,16,0.931595771962385,0.9371313107956454,13.722128674964592,0.6450826834909527,9.686263189623288e-06,0.33095100404012323
w102_hidden_192_mse,102,192,1,0.2,32,0.0001,0.0001,0.3,mse,1.0,1.0,16,64,424592,6,14,0.931595771962385,0.9367967176529276,13.79515914873844,0.6491598403627393,9.574991035043314e-06,2.81428857959143
w102_hidden_224_mse,102,224,1,0.2,32,0.0001,0.0001,0.3,mse,1.0,1.0,16,64,556080,5,13,0.931595771962385,0.9367863844154868,13.797414548295622,0.6541808336144946,9.437960070793735e-06,2.8135774914580995
w102_hidden_192_learning_rate_5e5,102,192,1,0.2,32,5e-05,0.0001,0.3,huber,1.0,1.0,16,64,424592,9,17,0.931595771962385,0.9361612239533494,13.933866133536469,0.6390517247084728,9.850857734200135e-06,0.331493738559213
w102_hidden_192,102,192,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,424592,5,13,0.931595771962385,0.9359850057838163,13.972328656420332,0.6383867286054586,9.869006545132391e-06,0.33145899347739644
w102_hidden_192_vweight_010,102,192,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,424592,6,14,0.931595771962385,0.9359294529156178,13.984453986458695,0.6402385092814666,9.818468478481253e-06,0.30212807743856224
w102_hidden_192_batch_64,102,192,1,0.2,64,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,424592,10,18,0.931595771962385,0.9359220357189661,13.986072912002564,0.6467519449717523,9.640706364742603e-06,0.3304367558200761
w102_hidden_192_current_only,102,192,1,0.2,32,0.0001,0.0001,0.0,huber,1.0,1.0,16,64,424592,6,14,0.931595771962385,0.935695579259291,14.03550077057994,0.6145381790260984,1.0519871738721556e-05,0.28768319245612267
w102_hidden_208,102,208,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,488032,5,13,0.931595771962385,0.9354787887446252,14.082818877182849,0.6415014321733645,9.784001285841806e-06,0.33139908195722223
w102_mse,102,128,1,0.2,32,0.0001,0.0001,0.3,mse,1.0,1.0,16,64,216912,7,15,0.931595771962385,0.9352316397045286,14.136763232839371,0.6380073939993672,9.879359195343137e-06,2.8197627610499314
w102_hidden_160,102,160,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,311536,5,13,0.931595771962385,0.9352041123337432,14.142771535681078,0.6294045706719462,1.0114144050991598e-05,0.3331254871174841
w102_layers_2,102,128,2,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,349008,6,14,0.931595771962385,0.9351166337064802,14.16186518937108,0.6307264232955356,1.0078068571395412e-05,0.3335285827074901
w102_batch_64,102,128,1,0.2,64,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,11,19,0.931595771962385,0.9350529663166051,14.17576164764502,0.6322778838562897,1.0035726722627818e-05,0.3324090024032215
w102_hidden_256,102,256,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,706000,5,13,0.931595771962385,0.9349407866613537,14.20024670823008,0.6449355022812269,9.690280001110636e-06,0.33169461506428105
w102_vweight_010,102,128,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,216912,7,15,0.931595771962385,0.9349281853302687,14.20299715664587,0.6323814705125694,1.0032899676585718e-05,0.3030865891735152
refine_window_102,102,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,6,14,0.931595771962385,0.9349227108526551,14.204192051707196,0.6300400913392156,1.009679967200722e-05,0.33288668523920645
w102_learning_rate_5e5,102,128,1,0.2,32,5e-05,0.0001,0.3,huber,1.0,1.0,16,64,216912,11,19,0.931595771962385,0.9348841073673758,14.212617899279456,0.6309446706795936,1.0072112250009805e-05,0.33258399190288956
refine_window_101,101,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,6,14,0.9310066196756708,0.9347425395728272,14.243517406134352,0.6257387550818012,1.0214190041872608e-05,0.3329289694233696
w102_current_only,102,128,1,0.2,32,0.0001,0.0001,0.0,huber,1.0,1.0,16,64,216912,7,15,0.931595771962385,0.9347389111579998,14.2443093675348,0.6145381790260984,1.0519871738721556e-05,0.288578463662969
w102_hidden_192_layers_2,102,192,2,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,721040,5,13,0.931595771962385,0.9346433725257709,14.265162250288789,0.6387704864550623,9.85853317750714e-06,0.3335025074458358
refine_window_104,104,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,6,14,0.9306971258470769,0.9346300440484266,14.268071410372682,0.6229764773410809,1.028957703471585e-05,0.3323940029828855
w102_hidden_240,102,240,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,628736,3,11,0.931595771962385,0.9344879169031347,14.299093004755887,0.6227500698529292,1.0295756058438677e-05,0.3342618998324517
